sku,damaged_fields,status,notes
3214055,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3214179,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3214283,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3214289,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3214391,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3214759,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3215281,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3215660,cat1_es,SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3216018,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3216159,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3216189,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3216572,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3216870,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3217076,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3217452,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3217521,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3217525,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3217906,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3218009,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3218041,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3218163,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3218213,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3218261,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3218840,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3218983,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219240,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219413,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219431,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219755,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219860,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219905,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219920,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219926,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219929,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219930,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3219967,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220005,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220067,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220096,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220104,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220269,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220455,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220576,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220634,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220642,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3220658,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3221014,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3221227,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3221670,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3221856,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3221887,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3221911,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222158,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222218,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222319,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222417,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222587,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222720,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222773,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222828,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222879,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222915,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222939,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3222955,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223017,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223054,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223074,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223129,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223205,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223289,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223413,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223416,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223472,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3223775,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3225476,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
4000083,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
