sku,canonical_id,name_es_raw,name_zh_standard,brand_id,cat1_es,cat2_es,cat1_zh,cat2_zh,spec_es_raw,spec_zh_standard,source_hash,translation_status,review_status,locked,source_first_seen,source_last_seen,updated_at,notes
1222313,ACT1222313,Plástico protector,防护塑料膜,,Bricolaje,Complementos de pintura,DIY五金,涂料配件,4x5 metros,4×5m,540d98d3727a3fdd489b6eb3975e7affeb0471ff6a5cd3bf0806482d3cafbbce,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1222401,ACT1222401,Lona protectora Werckmann,防护罩布,Werckmann,Bricolaje,Complementos de pintura,DIY五金,涂料配件,4x6 metros,4×6m,5c64c3e7808a1158666941e749562ed9016d20debcf95187ac7269aaa4a33a6d,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
131502,ACT0131502,Toalla de tocador Capetown aqua,客用毛巾,,Vivienda,Textil de baño,家居布置,浴室纺织,30x50 cm,30×50cm,478c184159165368426acf197b7a8f07f18953c7957a4e1158365a114f81c48f,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
131602,ACT0131602,Toalla de manos Capetown aqua,擦手巾,,Vivienda,Textil de baño,家居布置,浴室纺织,50x100 cm,50×100cm,f9d1acab7bf27740de2606f9a09f02dd8a8616e598e8f309df264b460aab0eae,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
131702,ACT0131702,Toalla de baño Capetown aqua,浴巾,,Vivienda,Textil de baño,家居布置,浴室纺织,70x140 cm,70×140cm,c1e1014d34ef02c273679b0412216c9bdc65c8e69faa1603c2b7f184f5253fda,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1325690,ACT1325690,Cera y pulimento para coche C&C,汽车蜡和抛光剂,C&C,Bricolaje,Coche,DIY五金,汽车用品,500 ml,500ml,700eb596665569d90ab1b0d3e3427c98f0d90d40b2f3f98bb2d4e0c3926a4eb3,MODEL_TRANSLATED,UNREVIEWED,0,2026-04-05,2026-08-25,2026-08-25,
1325691,ACT1325691,Espray para parachoques C&C,保险杠喷漆,C&C,Bricolaje,Coche,DIY五金,汽车用品,400 ml,400ml,1b73c2be94eeb6a61a4e1ec38a6c70205d3007816352bc00ce19b076a04b5174,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1326911,ACT1326911,Limpiador de tapicería C&C,汽车内饰清洁剂,C&C,Bricolaje,Coche,DIY五金,汽车用品,400 ml,400ml,cb23beb9c0915311e8f723ebdff8138e48fbd043b79cbfefab49df3d8ca71ea3,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1336900,ACT1336900,Aceite de motor multigrado C&C,多级机油,C&C,Bricolaje,Coche,DIY五金,汽车用品,4 litros | 10W-40,4L｜10W-40,e0194ee73b867916b7af48867cdd18673a51fa92885329ce8d77dcf7582dc9fc,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
137000,ACT0137000,Toalla de tocador Capetown blanca,客用毛巾,,Vivienda,Textil de baño,家居布置,浴室纺织,30x50 cm,30×50cm,bc2d251b52a093f4000e73d7d232e95317bdba29ed9e63fbd534ff3c96093397,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
137100,ACT0137100,Toalla Capetown Beige,毛巾,,Vivienda,Textil de baño,家居布置,浴室纺织,50x100 cm,50×100cm,c31de0ec6ac33c26f2d088ba3c97806bf00a1f007288f1396a7c4874d4493365,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
137200,ACT0137200,Toalla de baño Capetown Beige,浴巾,,Vivienda,Textil de baño,家居布置,浴室纺织,70x140 cm,70×140cm,a1551ee91d43c77709f8e0cd76aecd65dd3268dc1165343bc8344f780fe91aa6,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1810015,ACT1810015,Espuma para arreglos florales,插花海绵,,Jardín,,园艺户外,,"23x11x7,5 cm","23×11×7,5 厘米",1607b4a131aaf0558301b1991985bcd262c610f8f1a5cb8c32c0f65695756927,LEGACY_UNVERIFIED,UNREVIEWED,0,2026-01-09,2026-04-05,2026-08-25,
2001236,ACT2001236,Discos de algodón Alvira,化妆棉,Alvira,Cuidado personal,Maquillaje,个人美容,彩妆,50 unidades,50件,5452638d07aa121c24ea8548ffe9a1a870fa5a91a6f74469fba75094941ae560,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2001356,ACT2001356,Gel de ducha Adidas Ice Dive,沐浴露,Adidas,Cuidado personal,Artículos de baño y ducha,个人美容,沐浴和淋浴用品,250 ml,250ml,f86e07108fc203d7fa6f9fa17e0f2488b2f66df5a3be7c2e909c01eecdf0f34b,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2042515,ACT2042515,Palomitas saladas para microondas,微波炉咸味爆米花,,Comer y beber,Frutos secos y aperitivos,食品饮料,坚果和零食,3x 100 gramos,3×100g,23d5da53f436b102a66064da3e54f3ac3755520e3d4df762d6537d61f684e28b,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2042516,ACT2042516,Palomitas dulces para microondas,微波炉甜味爆米花,,Comer y beber,Frutos secos y aperitivos,食品饮料,坚果和零食,3x 100 gramos,3×100g,d021a041a814854366c845d35d455f7c3b6a541bd3dac4b963f27a7b65b35916,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2042861,ACT2042861,Hojaldres de albaricoque Patisserie,Patisserie 杏味酥皮点心,,Comer y beber,,食品饮料,,4x 50 gramos,4×50 克,66b65888f4ba9337bd06b42992aa5b50d24f8e9a7fa3c9040562b533843c716c,LEGACY_UNVERIFIED,UNREVIEWED,0,2026-01-09,2026-01-09,2026-08-25,
2049000,ACT2049000,Hojaldres con relleno de almendra Patisserie,杏仁夹心酥,Patisserie,Comer y beber,Galletas,食品饮料,饼干,"6x 33,3 gramos",6×33.3g,f09bb864a3a4da10b2a7cef89934cb2d8a09fa34753251ed3c65bc6daa2cd52d,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2049002,ACT2049002,Coronas de coco Patisserie,椰蓉圈饼,Patisserie,Comer y beber,Galletas,食品饮料,饼干,"6x 33,3 gramos",6×33.3g,f764cd1a325739a60d2514b5463bfa661666d3153aef105fd73a37f4e942bd59,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2049010,ACT2049010,Galletas de manzana Patisserie,苹果饼干,Patisserie,Comer y beber,Galletas,食品饮料,饼干,6 unidades | 300 gramos,6件｜300g,c0c5430692eabdb9b5917ea8b4b67119f307afb634241444c4d6659cd7a1d5a8,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
208006,ACT0208006,Molde pizza Zenker,披萨烤盘,,Cocina,,厨房餐具,,Ø 32 cm,直径32厘米,fdc3350744bfa7e3f2a51778767f44adf344db297a38252015a0057be037b0fb,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-01-09,2026-08-25,
210016,ACT0210016,Guantes de limpieza,家务手套,,Hogar,Artículos de limpieza,家务清洁,清洁用品,Talla M | varios colores,尺码 M｜多种颜色,197da40e16b3ffed88113853b8be4ad2f7ec3b128eff741c567080dd116edbce,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
210017,ACT0210017,Guantes de limpieza,清洁手套,,Hogar,,家务清洁,,Talla L | varios colores,尺码 L | 多种颜色,232f87f9aafbad619fe203206fbae72afb14b5453791bdceea4dda53e8c1b35b,LEGACY_UNVERIFIED,UNREVIEWED,0,2026-01-09,2026-07-20,2026-08-25,
211525,ACT0211525,Felpudo,门垫,,Vivienda,Muebles,家居布置,家具,40x60 cm,40×60cm,150cd3d0a2b16f0cb19bee75d96095421129a6e0992b91ed6b8efaf0f16dbfbd,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
220008,ACT0220008,Estropajos,百洁布,,Hogar,Artículos de limpieza,家务清洁,清洁用品,5 unidades,5件,bd25d104c310122d17268e3933810c84bdee6688bf77fefdff8c89d7b21a0aab,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
220085,ACT0220085,Cuerda para tender la ropa,晾衣绳,,Hogar,Detergentes y lavavajillas,家务清洁,洗涤剂和洗碗用品,20 metros | diferentes variantes,20m｜多款可选,4e68ea4215bf75f3898603fd4c61f321fffcfec275b8ac1a0581b388caee5a53,MODEL_TRANSLATED,UNREVIEWED,0,2026-04-05,2026-08-25,2026-08-25,
220099,ACT0220099,Perchas,衣架,,Hogar,Detergentes y lavavajillas,家务清洁,洗涤剂和洗碗用品,10 unidades,10件,d329e0daf2c3bbd816d5ab88aaa695472d1334d98075805112e40410d28c43fd,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
220140,ACT0220140,Bayetas de limpieza Action,清洁布,Action,Hogar,Artículos de limpieza,家务清洁,清洁用品,10 unidades,10件,817d3c8c62ba9eb17a6ab53c5da1aff29d499e4b279a6704c3fdccaafcaa6f09,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2202548,ACT2202548,Seda dental con aplicador,牙线棒,,Cuidado personal,,个人美容,,75 unidades,75 件,3c8241ae819b77613e322765ddccc5dd9b837f5917b98fca084fa9fb9bbcd322,LEGACY_UNVERIFIED,UNREVIEWED,0,2026-01-09,2026-08-02,2026-08-25,
220368,ACT0220368,Cepillo de plástico para lavar platos,塑料洗碗刷,,Hogar,Artículos de limpieza,家务清洁,清洁用品,Diferentes variantes,多款可选,30645847611410018a52354f1e746ca6c747d00dab6055ce800b2578ccc6c384,MODEL_TRANSLATED,UNREVIEWED,0,2026-07-01,2026-08-25,2026-08-25,
220611,ACT0220611,Estropajos Multy,百洁布,Multy,Hogar,Artículos de limpieza,家务清洁,清洁用品,6 unidades,6件,5c63d47ce0ec8ad49fea34b0ce1adac4977bc6847abb28acfc1c3445824f5f04,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2500062,ACT2500062,Colador con mango,带柄滤网,,Cocina,Menaje de cocina,厨房餐具,厨房用具,Ø 20 cm,直径20cm,d7a5a8f7e4729f09dd4ee6f2303ae1e6bb5fd11070ac26331c56f24fdde181fb,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2500315,ACT2500315,Galletas rellenas Patisserie,夹心饼干,Patisserie,Comer y beber,Galletas,食品饮料,饼干,6x 50 gramos,6×50g,df1d12a01a9dd718e7a917a68dcb98fe71bf099560ab8a2574a8b19d2c8af94f,MODEL_TRANSLATED,UNREVIEWED,0,2026-04-05,2026-08-25,2026-08-25,
2500388,ACT2500388,Caramelos ácidos Roshen,酸味糖果,Roshen,Comer y beber,Caramelos,食品饮料,糖果,600 gramos,600g,3ef86cb2d00c620e98215cff839b4b72b37604b4c8b5e1a5d340b1ce7a280cd3,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2500418,ACT2500418,Rodillos de pintura Spectrum,滚筒涂料,Spectrum,Bricolaje,Complementos de pintura,DIY五金,涂料配件,10 cm | 5 unidades,10cm｜5件,5f37ac8c61f7da9756c854a83d3165fe9cf5ae5a8808e7b2286d8cb337a846d5,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2500458,ACT2500458,Matamoscas electrónico Nor-Tec,电蚊拍 Nor-Tec,,Jardín,,园艺户外,,Varios colores,多种颜色,53f8ff19c69bf6bfdd4ab5a706d6d894745ff21b33c8743c9c928e3b79bb8cd6,LEGACY_UNVERIFIED,UNREVIEWED,0,2026-04-05,2026-08-13,2026-08-25,
2500813,ACT2500813,Matamoscas,苍蝇拍,,Viajes,,旅行用品,,30x30 cm | varios colores,30x30 cm｜多种颜色,09394ceb0c7213418e92d718f91525ab22037d01c504e33a985ae90b941fe81e,NEEDS_REVIEW,NEEDS_REVIEW,0,2026-04-05,2026-07-06,2026-08-25,
2500885,ACT2500885,Gas para encendedor,打火机燃气,,Bricolaje,Herramientas,DIY五金,工具,250 ml,250ml,c366bbb6c6bc1d7959c6b3885554e82a23e585bdaa428b6c17742eada383b0e9,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2500945,ACT2500945,Aftershave Axe África,须后水,,Cuidado personal,,个人美容,,100 ml,100毫升,20e7d394b5fbc37a5750c6229db66625334af5d221c28de2421422fc8b6d234e,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-04-05,2026-08-25,
2501160,ACT2501160,Jabón de manos con suero de leche Hegron Higiene,乳清洗手液,,Cuidado personal,,个人美容,,1 litro,1升,d51bb25d74ffb7b1c4d12b8cacb5f64e89d738dc8461071311b3a878cc918624,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-02,2026-08-25,
2501199,ACT2501199,Juego de escuadra y cartabón Office Essentials,三角尺套装,Office Essentials,Oficina y papelería,Accesorios de oficina,办公文具,办公配件,5 piezas,5件,dc89b291803d8316fa6229b8f0e5a42ab765f766d37bac230cf7aea504b43332,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2501374,ACT2501374,Pepsi Max,无糖可乐,Pepsi,Comer y beber,Bebidas,食品饮料,饮料,500 ml,500ml,84f1811a21af2537782be31a96f753341bad0e1e79d7bcb7fa77d1d84a653490,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2501406,ACT2501406,Barritas luminosas fluorescentes,荧光棒,,Hobby,Artículos de fiesta,兴趣手作,派对用品,15 unidades,15件,1073b5f9e3dee1b1df42021c0e5d3488e418ca65c93989ebfa6337d0d7d45c58,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2501766,ACT2501766,Colchón de aire de 1 plaza Intex,单人充气床垫,Intex,Viajes,Artículos de acampada,旅行用品,露营用品,76x191x25 cm,76×191×25cm,15532525a4462bc985366788c0d95abbfc2bab7dea210beae7b4f61aeb0b8d2a,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2501768,ACT2501768,Colchón inflable Intex Dura-Beam Estándar,充气床垫,Intex,Viajes,Artículos de acampada,旅行用品,露营用品,137 x 191 x 25 cm | 2 personas,137×191×25cm｜2人,b253758871360e27ec6b2e03415b9d93b95c47e057dd6323253102916602299c,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2502085,ACT2502085,Bolsa de regalo XL,礼品袋,,Hobby,Artículos de fiesta,兴趣手作,派对用品,25x33 cm | diferentes variantes,25×33cm｜多款可选,170d8dd83c0ae0ddc41025978a7fe80a78f452a4b3a5fae8e38ec83ef327a427,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2502244,ACT2502244,Tendedero puerta,门挂式晾衣架,,Hogar,Detergentes y lavavajillas,家务清洁,洗涤剂和洗碗用品,58x73x29 cm | diferentes variantes,58×73×29cm｜多款可选,535265781ee464e04c9ec84b0ad325fe3b30acb82b6c6970395badbd824b8dd3,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2502745,ACT2502745,Pastillas para encender la barbacoa Samba,烧烤引火块,Samba,Jardín,Barbacoa y accesorios,园艺户外,烧烤及配件,Paquete de 40,40件,dd7df5fda3611aba29084bc0884dcad14ec9a14fe1b717549418b2c8732bbb76,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2502760,ACT2502760,Abrillantador de ruedas C&C,轮胎亮光剂,C&C,Bricolaje,Coche,DIY五金,汽车用品,400 ml,400ml,8ab6a5578f402681dee4a8c5646153a028abf6414b089ad419ac92968d10ef63,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2502953,ACT2502953,Mopa no tejida,无纺布拖把,,Hogar,Artículos de limpieza,家务清洁,清洁用品,48x60 cm,48×60cm,239e0f26cb24bb6c76a0b4d02b02dd59f5263bf1bc13f326cc154707dc73e0c4,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2503062,ACT2503062,Bolsas de conservación Excellent Houseware,保鲜袋,Excellent Houseware,Cocina,Organizadores de despensa,厨房餐具,储物收纳,"25 unidades | 0,9 litros",25件｜0.9L,fc4d822192f5b30f3febd556a5c8b35a446f771510ce7ad515d4191d084358b3,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2503102,ACT2503102,Líquido limpiaparabrisas C&C,玻璃水,C&C,Bricolaje,Coche,DIY五金,汽车用品,500 ml,500ml,10d9652ffcf56551053a3750eb9d2379352a0ac0848f72be2c62b4ae9944872e,MODEL_TRANSLATED,UNREVIEWED,0,2026-04-05,2026-08-25,2026-08-25,
2503602,ACT2503602,Trampas para insectos Garden Collection,捕虫器,Garden Collection,Jardín,Control de plagas,园艺户外,害虫防治,4 unidades,4件,bf04b5781546e103362371fb9f460ff7aff4dc911ed180c8ab827252b009e4a7,MODEL_TRANSLATED,UNREVIEWED,0,2026-04-05,2026-08-25,2026-08-25,
2503658,ACT2503658,Barritas masticables para periquitos Nature Fit,虎皮鹦鹉磨牙棒,Nature Fit,Mascotas,Alimentación para animales,宠物用品,动物食品,2 unidades | diferentes variantes,2件｜多款可选,5df5b5361b653c74a567780ddaa9604c3bff80e9c9c15bb1cbdc1e18127d59a6,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2503720,ACT2503720,Cepillo de limpieza,清洁刷,,Hogar,Artículos de limpieza,家务清洁,清洁用品,Varios colores,多种颜色,2adb894bfde822db6930010ede88e0582523e877b700f50f377f4c05dff7439f,MODEL_TRANSLATED,UNREVIEWED,0,2026-07-06,2026-08-25,2026-08-25,
2503733,ACT2503733,Paño de microfibras Spargo,微纤维清洁布 Spargo,,Hogar,,家务清洁,,40x40 cm | varios colores,40×40 厘米 | 多种颜色,7c8a08d4ad4e199773c0365b7d5e33471aa69a52c9c0d751b3ce7545839d857d,LEGACY_UNVERIFIED,UNREVIEWED,0,2026-01-09,2026-01-09,2026-08-25,
2503772,ACT2503772,Bolsas para lavadora,洗衣袋,,Hogar,Detergentes y lavavajillas,家务清洁,洗涤剂和洗碗用品,2 unidades | 30x40 cm,2件｜30×40cm,71ea55eb199b708b1b06c1288fb3db53dc38022f3c670f86d2b762c3f95249e6,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2504045,ACT2504045,Máquina para pintar huevos de Pascua,复活节彩蛋绘画机,,Hobby,,兴趣手作,,2 piezas,2 件,f1076d89c1998e88fdbe8ee6c210b8b61a107839aeb2f8000be1482ba912412c,LEGACY_UNVERIFIED,UNREVIEWED,0,2026-01-09,2026-04-05,2026-08-25,
2504201,ACT2504201,Toalla de baño Capetown negro,浴巾,,Vivienda,Textil de baño,家居布置,浴室纺织,70x140 cm,70×140cm,0a0bcf4fe0d5114114f5d090f91972be6b4908c8014a68384c3022b626e7ef62,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2504202,ACT2504202,Toalla de manos Capetown,擦手巾,,Vivienda,Textil de baño,家居布置,浴室纺织,50x100 cm,50×100cm,31d787124c4afc08d01db53047ed32022e2157fa357e72226a1dcec3a67b47db,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2504203,ACT2504203,Toalla de tocador Capetown negra,客用毛巾,,Vivienda,Textil de baño,家居布置,浴室纺织,30x50 cm,30×50cm,bd7c3a6d193decf04701748f97dc83032e1aa6c54c8cc2f383d0468be0c287b0,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2504548,ACT2504548,Boquilla aspiradora,吸尘器吸嘴,,Hogar,Pequeños electrodomésticos,家务清洁,小家电,Diferentes variantes,多款可选,feb35390b407a4c7b3254932a11a66f0fed384ae2ad9cef269ee1bc053138dc9,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2504944,ACT2504944,Espray anticondensación,防雾喷雾,,Bricolaje,,DIY五金,,200 ml,200 毫升,159bd1fa45bf14c1846053c8414fe966cf06a347b5c239b33142630be4f5346a,LEGACY_UNVERIFIED,UNREVIEWED,0,2026-01-09,2026-01-09,2026-08-25,
2504983,ACT2504983,Paño para cristales y espejos Spargo,玻璃清洁布,Spargo,Hogar,Artículos de limpieza,家务清洁,清洁用品,40x40 cm | diferentes variantes,40×40cm｜多款可选,cdc2b92615730d66fde8f856d9bae571fc88434f280597eb374afcdaed657ff3,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2505022,ACT2505022,Mosquitera,防蚊纱窗,,Vivienda,Decoración,家居布置,家居装饰,130x150 cm,130×150cm,6050c516129993740ea26dc32d43920dd03df41119e7ddcd3864373f4a3d8efe,MODEL_TRANSLATED,UNREVIEWED,0,2026-04-05,2026-08-25,2026-08-25,
2505366,ACT2505366,Papel de impresora A4 Xerox,施乐 A4 打印纸,,Oficina y papelería,,办公文具,,500 hojas,500 张,55974a2fbbd3ecf128d92f6b1bfe32a9cd3d0b5cf6c5f8e68cbd38bfd6c2520d,NEEDS_REVIEW,NEEDS_REVIEW,0,2026-01-09,2026-07-01,2026-08-25,
2505686,ACT2505686,Martillo de carpintero Werckmann,木工锤,Werckmann,Bricolaje,Herramientas,DIY五金,工具,454 gramos,454g,04b8e46721fb0b74a7d0831846796efc0d25966552aa44e8e34076800e4501ef,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2506346,ACT2506346,Plástico protector TCX,防护塑料膜,TCX,Bricolaje,Complementos de pintura,DIY五金,涂料配件,25 m x 55 cm | diferentes variantes,25m×55cm｜多款可选,970252512c4d1a744613c5750804ac7f2323b73e885df0062ff5b584f8745a50,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2506494,ACT2506494,Toallitas de bebé Teddy Care Regular,婴儿湿巾,Teddy Care,Cuidado personal,Cuidados para el bebé,个人美容,婴儿护理,90 unidades,90件,c096b153dfd1f52bc994fc7afea4c863f9ceec4cf436b474ef163e41174760c4,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2506544,ACT2506544,Toallitas húmedas para el hogar Spargo,居家湿巾,Spargo,Hogar,Artículos de limpieza,家务清洁,清洁用品,80 unidades,80件,602f39f92f411464ed496cbab9bd3d97570be03b26d8aaf8423e95d04af2b2da,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
2506555,ACT2506555,Caramelos Werther's Original,糖果,Werther's,Comer y beber,Caramelos,食品饮料,糖果,3x50 gramos,3×50g,78fe8d8b91f13552ea0ac05e8010bc06e8ff04b96993fce331835e46bf2af22b,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
